,Player_name,Player_ID,Season_start,Season_end
0,Alaa Abdelnaby,abdelal01,1991,1995
1,Zaid Abdul-Aziz,abdulza01,1969,1978
2,Kareem Abdul-Jabbar,abdulka01,1970,1989
3,Mahmoud Abdul-Rauf,abdulma02,1991,2001
4,Tariq Abdul-Wahad,abdulta01,1998,2003
5,Shareef Abdur-Rahim,abdursh01,1997,2008
6,Tom Abernethy,abernto01,1977,1981
7,Forest Able,ablefo01,1957,1957
8,John Abramovic,abramjo01,1947,1948
9,Álex Abrines,abrinal01,2017,2019
10,Precious Achiuwa,achiupr01,2021,2021
11,Alex Acker,ackeral01,2006,2009
12,Don Ackerman,ackerdo01,1954,1954
13,Mark Acres,acresma01,1988,1993
14,Bud Acton,actonbu01,1968,1968
15,Quincy Acy,acyqu01,2013,2019
16,Alvan Adams,adamsal01,1976,1988
17,Don Adams,adamsdo01,1971,1977
18,George Adams,adamsge01,1973,1975
19,Hassan Adams,adamsha01,2007,2009
20,Jaylen Adams,adamsja01,2019,2021
21,Jordan Adams,adamsjo01,2015,2016
22,Michael Adams,adamsmi01,1986,1996
23,Steven Adams,adamsst01,2014,2021
24,Rafael Addison,addisra01,1987,1997
25,Bam Adebayo,adebaba01,2018,2021
26,Deng Adel,adelde01,2019,2019
27,Rick Adelman,adelmri01,1969,1975
28,Jeff Adrien,adrieje01,2011,2015
29,Arron Afflalo,afflaar01,2008,2018
30,Maurice Ager,agerma01,2007,2011
31,Mark Aguirre,aguirma01,1982,1994
32,Blake Ahearn,ahearbl01,2008,2012
33,Danny Ainge,aingeda01,1982,1995
34,Matthew Aitch,aitchma01,1968,1968
35,Alexis Ajinça,ajincal01,2009,2017
36,Henry Akin,akinhe01,1967,1969
37,Josh Akognon,akognjo01,2013,2013
38,DeVaughn Akoon-Purcell,akoonde01,2019,2019
39,Solomon Alabi,alabiso01,2011,2012
40,Mark Alarie,alarima01,1987,1991
41,Gary Alcorn,alcorga01,1960,1961
42,Furkan Aldemir,aldemfu01,2015,2015
43,Cole Aldrich,aldrico01,2011,2018
44,LaMarcus Aldridge,aldrila01,2007,2021
45,Chuck Aleksinas,aleksch01,1985,1985
46,Cliff Alexander,alexacl01,2016,2016
47,Cory Alexander,alexaco01,1996,2005
48,Courtney Alexander,alexaco02,2001,2003
49,Gary Alexander,alexaga01,1994,1994
50,Joe Alexander,alexajo01,2009,2010
51,Kyle Alexander,alexaky01,2020,2020
52,Ty-Shon Alexander,alexaty01,2021,2021
53,Victor Alexander,alexavi01,1992,2002
54,Nickeil Alexander-Walker,alexani01,2020,2021
55,Steve Alford,alforst01,1988,1991
56,Rawle Alkins,alkinra01,2019,2019
57,Bill Allen,allenbi01,1968,1968
58,Bob Allen,allenbo01,1969,1969
59,Grayson Allen,allengr01,2019,2021
60,Jarrett Allen,allenja01,2018,2021
61,Jerome Allen,allenje01,1996,1997
62,Kadeem Allen,allenka01,2018,2020
63,Lavoy Allen,allenla01,2012,2017
64,Lucius Allen,allenlu01,1970,1979
65,Malik Allen,allenma01,2002,2011
66,Randy Allen,allenra01,1989,1990
67,Ray Allen,allenra02,1997,2014
68,Tony Allen,allento01,2005,2018
69,Willie Allen,allenwi01,1972,1972
70,Odis Allison,allisod01,1972,1972
71,Lance Allred,allrela01,2008,2008
72,Darrell Allums,allumda01,1981,1981
73,Morris Almond,almonmo01,2008,2012
74,Derrick Alston,alstode01,1995,1997
75,Rafer Alston,alstora01,2000,2010
76,Peter Aluma,alumape01,1999,1999
77,John Amaechi,amaecjo01,1996,2003
78,Ashraf Amaya,amayaas01,1996,1997
79,Al-Farouq Aminu,aminual01,2011,2021
80,Lou Amundson,amundlo01,2007,2016
81,Bob Anderegg,anderbo01,1960,1960
82,Chris Andersen,anderch01,2002,2017
83,David Andersen,anderda03,2010,2011
84,Alan Anderson,anderal01,2006,2017
85,Andrew Anderson,anderan01,1968,1970
86,Antonio Anderson,anderan02,2010,2010
87,Cliff Anderson,andercl01,1968,1971
88,Dan Anderson,anderda01,1968,1969
89,Dan Anderson,anderda02,1975,1976
90,Derek Anderson,anderde01,1998,2008
91,Dwight Anderson,anderdw01,1983,1983
92,Eric Anderson,anderer01,1993,1994
93,Greg Anderson,andergr01,1988,1998
94,J.J. Anderson,anderjj01,1983,1985
95,James Anderson,anderja01,2011,2016
96,Jerome Anderson,anderje01,1976,1977
97,Justin Anderson,anderju01,2016,2020
98,Kenny Anderson,anderke01,1992,2005
99,Kim Anderson,anderki01,1979,1979
100,Kyle Anderson,anderky01,2015,2021
101,Michael Anderson,andermi01,1989,1989
102,Nick Anderson,anderni01,1990,2002
103,Richard Anderson,anderri01,1983,1990
104,Ron Anderson,anderro01,1985,1994
105,Ryan Anderson,anderry01,2009,2020
106,Shandon Anderson,andersh01,1997,2006
107,Willie Anderson,anderwi01,1989,1997
108,Wally Anderzunas,anderwa01,1970,1970
109,Martynas Andriuškevičius,andrima01,2006,2006
110,Don Anielak,anieldo01,1955,1955
111,Ike Anigbogu,anigbik01,2018,2019
112,Michael Ansley,anslemi01,1990,1992
113,Chris Anstey,anstech01,1998,2000
114,Giannis Antetokounmpo,antetgi01,2014,2021
115,Kostas Antetokounmpo,antetko01,2019,2021
116,Thanasis Antetokounmpo,antetth01,2016,2021
117,Carmelo Anthony,anthoca01,2004,2021
118,Cole Anthony,anthoco01,2021,2021
119,Greg Anthony,anthogr01,1992,2002
120,Joel Anthony,anthojo01,2008,2017
121,Pero Antić,anticpe01,2014,2015
122,OG Anunoby,anunoog01,2018,2021
123,Keith Appling,applike01,2016,2016
124,Rafael Araújo,araujra01,2005,2007
125,Stacey Arceneaux,arcenst01,1962,1962
126,Robert Archibald,archiro01,2003,2004
127,Tiny Archibald,architi01,1971,1984
128,Ryan Arcidiacono,arcidry01,2018,2021
129,Jim Ard,ardji01,1971,1978
130,Gilbert Arenas,arenagi01,2002,2012
131,Trevor Ariza,arizatr01,2005,2021
132,Paul Arizin,arizipa01,1951,1962
133,Joe Arlauckas,arlaujo01,1988,1988
134,B.J. Armstrong,armstbj01,1990,2000
135,Bob Armstrong,armstbo01,1957,1957
136,Brandon Armstrong,armstbr01,2002,2004
137,Curly Armstrong,armstcu01,1949,1951
138,Darrell Armstrong,armstda01,1995,2008
139,Hilton Armstrong,armsthi01,2007,2014
140,Tate Armstrong,armstta01,1978,1979
141,Jesse Arnelle,arnelje01,1956,1956
142,Jay Arnette,arnetja01,1964,1966
143,Bob Arnzen,arnzebo01,1970,1974
144,Carlos Arroyo,arroyca01,2002,2011
145,Darrell Arthur,arthuda01,2009,2018
146,John Arthurs,arthujo01,1970,1970
147,Jamel Artis,artisja01,2018,2018
148,Ömer Aşık,asikom01,2011,2018
149,Vincent Askew,askewvi01,1988,1998
150,Keith Askins,askinke01,1991,1999
151,Don Asmonga,asmondo01,1954,1954
152,Dick Atha,athadi01,1956,1958
153,Chucky Atkins,atkinch01,2000,2010
154,Al Attles,attleal01,1961,1971
155,Chet Aubuchon,aubucch01,1947,1947
156,Stacey Augmon,augmost01,1992,2006
157,D.J. Augustin,augusdj01,2009,2021
158,James Augustine,augusja01,2007,2008
159,Isaac Austin,austiis01,1992,2002
160,Johnny Austin,austijo01,1967,1968
161,Ken Austin,austike01,1984,1984
162,Deni Avdija,avdijde01,2021,2021
163,Anthony Avent,aventan01,1993,2000
164,Bird Averitt,averibi01,1974,1978
165,William Avery,averywi01,2000,2002
166,Dennis Awtrey,awtrede01,1971,1982
167,Gustavo Ayón,ayongu01,2012,2014
168,Jeff Ayres,pendeje02,2010,2016
169,Deandre Ayton,aytonde01,2019,2021
170,Kelenna Azubuike,azubuke01,2007,2012
171,Udoka Azubuike,azubuud01,2021,2021
172,Chris Babb,babbch01,2014,2014
173,Luke Babbitt,babbilu01,2011,2018
174,Miloš Babić,babicmi01,1991,1992
175,Johnny Bach,bachjo01,1949,1949
176,Dwayne Bacon,bacondw01,2018,2021
177,Henry Bacon,baconhe01,1973,1973
178,Jim Baechtold,baechji01,1953,1957
179,Dalibor Bagarić,bagarda01,2001,2003
180,John Bagley,baglejo01,1983,1994
181,Marvin Bagley,baglema01,2019,2021
182,Carl Bailey,baileca01,1982,1982
183,Gus Bailey,bailegu01,1975,1980
184,James Bailey,baileja01,1980,1988
185,Thurl Bailey,baileth01,1984,1999
186,Toby Bailey,baileto01,1999,2000
187,Cameron Bairstow,bairsca01,2015,2016
188,Jimmie Baker,bakerji01,1976,1976
189,LaMark Baker,bakerla01,1999,1999
190,Maurice Baker,bakerma01,2005,2005
191,Norm Baker,bakerno01,1947,1947
192,Ron Baker,bakerro01,2017,2019
193,Vin Baker,bakervi01,1994,2006
194,Wade Baldwin,baldwwa01,2017,2019
195,Renaldo Balkman,balkmre01,2007,2012
196,Cedric Ball,ballce01,1991,1991
197,LaMelo Ball,ballla01,2021,2021
198,Lonzo Ball,balllo01,2018,2021
199,Greg Ballard,ballagr01,1978,1989
200,Herschel Baltimore,baltihe01,1947,1947
201,Mohamed Bamba,bambamo01,2019,2021
202,Desmond Bane,banede01,2021,2021
203,Gene Banks,banksge01,1982,1987
204,Marcus Banks,banksma01,2004,2011
205,Walker Banks,bankswa01,1971,1971
206,Ken Bannister,bannike01,1985,1991
207,Mike Bantom,bantomi01,1974,1982
208,John Barber,barbejo01,1957,1957
209,Leandro Barbosa,barbole01,2004,2017
210,Steve Bardo,bardost01,1992,1996
211,J.J. Barea,bareajo01,2007,2020
212,Andrea Bargnani,bargnan01,2007,2016
213,Cliff Barker,barkecl01,1950,1952
214,Tom Barker,barketo01,1977,1979
215,Charles Barkley,barklch01,1985,2000
216,Erick Barkley,barkler01,2001,2002
217,Don Barksdale,barksdo01,1952,1955
218,Harrison Barnes,barneha02,2013,2021
219,Harry Barnes,barneha01,1969,1969
220,Jim Barnes,barneji01,1965,1971
221,Marvin Barnes,barnema01,1975,1980
222,Matt Barnes,barnema02,2004,2017
223,Dick Barnett,barnedi01,1960,1974
224,Jim Barnett,barneji02,1967,1977
225,Nathaniel Barnett,barnena01,1976,1976
226,John Barnhill,barnhjo01,1963,1972
227,Norton Barnhill,barnhno01,1977,1977
228,Leo Barnhorst,barnhle01,1950,1954
229,John Barr,barrjo01,1947,1947
230,Mike Barr,barrmi01,1973,1977
